SUSCEPTIBLE,EXPOSED,INFECTED,RECOVERED
19960,20,20,0
19943,34,19,4
19924,43,27,6
19895,64,30,11
19871,70,45,14
19837,86,57,20
19784,109,79,28
19716,155,93,36
19634,189,128,49
19531,233,176,60
19371,319,214,96
19179,411,291,119
18918,560,355,167
18571,745,466,218
18175,927,620,278
17698,1116,818,368
17066,1449,1009,476
16352,1773,1274,601
15441,2202,1568,789
14412,2584,2023,981
13205,3102,2452,1241
11914,3514,3025,1547
10483,3978,3586,1953
8992,4377,4211,2420
7484,4626,4889,3001
6053,4697,5633,3617
4817,4580,6249,4354
3756,4348,6749,5147
2870,4018,7076,6036
2179,3564,7232,7025
1665,3086,7303,7946
1254,2662,7180,8904
957,2200,6980,9863
763,1829,6655,10753
645,1486,6231,11638
566,1178,5803,12453
498,961,5389,13152
452,755,4956,13837
427,601,4475,14497
425,499,4081,14995
418,397,3661,15524
423,331,3220,16026
424,271,2891,16414
455,215,2570,16760
465,201,2267,17067
476,178,2004,17342
502,168,1767,17563
530,154,1575,17741
575,126,1407,17892
603,119,1249,18029
639,92,1126,18143
689,94,988,18229
726,93,885,18296
759,100,787,18354
799,87,694,18420
837,93,609,18461
898,75,540,18487
959,61,480,18500
1003,60,430,18507
1049,59,376,18516
1112,52,335,18501
1160,44,307,18489
1203,47,281,18469
1261,42,259,18438
1314,43,223,18420
1374,38,200,18388
1435,39,180,18346
1498,36,168,18298
1553,32,154,18261
1617,33,141,18209
1679,33,124,18164
1735,37,111,18117
1782,37,97,18084
1839,34,79,18048
1899,24,79,17998
1952,22,73,17953
2017,15,72,17896
2084,19,61,17836
2144,19,52,17785
2191,15,53,17741
2251,10,53,17686
2313,9,52,17626
2363,10,47,17580
2416,10,42,17532
2460,11,38,17491
2522,13,34,17431
2577,12,36,17375
2635,11,32,17322
2691,12,30,17267
2745,9,26,17220
2801,7,25,17167
2856,6,26,17112
2910,4,27,17059
2960,4,26,17010
3006,9,24,16961
3052,7,26,16915
3116,5,22,16857
3164,4,17,16815
3211,5,14,16770
3263,5,14,16718
3318,3,15,16664
3374,4,13,16609
3432,4,12,16552
3483,4,8,16505
3530,3,7,16460
3583,4,6,16407
3631,3,9,16357
3672,4,10,16314
3711,3,11,16275
3758,3,9,16230
3796,3,6,16195
3834,5,5,16156
3867,3,6,16124
3906,5,6,16083
3944,5,7,16044
3990,4,7,15999
4046,6,7,15941
4090,5,9,15896
4135,5,11,15849
4187,7,12,15794
4235,5,13,15747
4285,7,10,15698
4315,8,13,15664
4361,10,12,15617
4402,10,14,15574
4458,9,14,15519
4508,7,14,15471
4547,6,15,15432
4593,8,15,15384
4630,9,14,15347
4672,11,15,15302
4716,12,14,15258
4764,14,16,15206
4824,9,19,15148
4864,12,18,15106
4902,13,21,15064
4948,15,21,15016
4997,17,22,14964
5037,15,27,14921
5087,16,26,14871
5115,13,32,14840
5158,12,32,14798
5194,11,33,14762
5230,11,32,14727
5264,16,31,14689
5299,16,35,14650
5335,12,35,14618
5358,21,36,14585
5381,23,37,14559
5402,27,37,14534
5437,27,38,14498
5460,31,40,14469
5496,24,49,14431
5520,35,45,14400
5549,37,52,14362
5572,38,60,14330
5600,43,62,14295
5629,43,60,14268
5636,55,68,14241
5667,54,74,14205
5683,61,78,14178
5715,62,92,14131
5739,65,100,14096
5760,63,103,14074
5766,81,103,14050
5783,91,108,14018
5792,98,117,13993
5808,101,131,13960
5815,107,146,13932
5828,99,163,13910
5837,100,171,13892
5851,111,178,13860
5856,115,182,13847
5833,137,189,13841
5819,148,201,13832
5810,141,215,13834
5798,154,219,13829
5784,149,249,13818
5777,161,246,13816
5767,173,260,13800
5739,189,270,13802
5721,192,289,13798
5684,215,313,13788
5666,216,331,13787
5636,212,348,13804
5611,225,371,13793
5557,249,379,13815
5517,256,401,13826
5478,262,428,13832
5437,260,445,13858
5364,288,482,13866
5310,302,498,13890
5252,312,522,13914
5179,340,524,13957
5111,363,541,13985
5063,343,568,14026
5011,358,591,14040
4933,383,605,14079
4862,374,640,14124
4779,406,654,14161
4707,393,688,14212
4614,418,708,14260
4524,438,725,14313
4448,461,749,14342
4361,464,778,14397
4285,465,813,14437
4219,465,832,14484
4160,445,836,14559
4068,444,852,14636
3985,439,874,14702
3901,447,882,14770
3815,458,894,14833
3725,458,899,14918
3658,445,908,14989
3592,442,928,15038
3531,412,948,15109
3475,409,932,15184
3409,406,942,15243
3340,421,935,15304
3312,407,894,15387
3263,399,887,15451
3212,390,867,15531
3170,395,852,15583
3126,384,842,15648
3107,376,806,15711
3107,345,788,15760
3084,337,776,15803
3081,320,764,15835
3047,327,744,15882
3050,307,737,15906
3047,289,722,15942
3065,277,703,15955
3059,276,700,15965
3053,270,682,15995
3059,259,674,16008
3079,246,639,16036
3082,254,612,16052
3103,245,608,16044
3116,243,589,16052
3116,246,577,16061
3140,234,569,16057
3148,231,551,16070
3164,212,559,16065
3174,226,545,16055
3199,230,536,16035
3227,210,541,16022
3248,218,518,16016
3280,209,535,15976
3291,212,523,15974
3304,230,491,15975
3319,212,481,15988
3347,204,490,15959
3375,209,488,15928
3408,218,481,15893
3426,227,477,15870
3426,246,464,15864
3439,240,485,15836
3452,252,493,15803
3448,237,510,15805
3448,241,525,15786
3445,249,525,15781
3451,267,511,15771
3470,260,528,15742
3462,256,529,15753
3480,254,533,15733
3473,269,519,15739
3500,261,522,15717
3514,265,517,15704
3514,276,518,15692
3511,271,527,15691
3516,253,541,15690
3534,257,556,15653
3548,254,546,15652
3542,274,543,15641
3534,273,546,15647
3531,268,547,15654
3531,279,547,15643
3537,275,565,15623
3535,274,572,15619
3552,264,571,15613
3549,259,573,15619
3559,255,579,15607
3565,256,562,15617
3578,270,547,15605
3592,249,558,15601
3608,238,550,15604
3646,231,555,15568
3684,222,547,15547
3702,222,545,15531
3720,223,554,15503
3736,233,541,15490
3746,232,533,15489
3759,238,533,15470
3787,237,531,15445
3802,247,512,15439
3811,249,516,15424
3804,274,508,15414
3845,260,520,15375
3849,264,516,15371
3855,242,515,15388
3881,267,502,15350
3889,269,515,15327
3906,269,500,15325
3922,290,493,15295
3956,254,515,15275
3994,253,535,15218
4009,265,530,15196
4033,268,520,15179
4040,276,537,15147
4048,275,545,15132
4026,307,529,15138
4056,289,531,15124
4052,292,540,15116
4062,308,530,15100
4075,314,520,15091
4097,302,536,15065
4085,299,566,15050
4093,301,576,15030
4085,309,570,15036
4088,292,595,15025
4087,297,601,15015
4087,293,629,14991
4100,310,636,14954
4096,328,646,14930
4063,349,642,14946
4045,360,657,14938
4047,340,683,14930
4014,360,681,14945
3985,375,681,14959
3994,355,695,14956
3981,360,697,14962
3967,366,698,14969
3961,353,710,14976
3952,345,745,14958
3946,359,723,14972
3916,373,743,14968
3902,361,756,14981
3911,366,734,14989
3893,357,742,15008
3880,343,763,15014
3874,343,751,15032
3864,363,746,15027
3841,385,733,15041
3840,375,754,15031
3833,375,761,15031
3838,371,765,15026
3807,369,784,15040
3799,387,769,15045
3768,390,779,15063
3749,398,787,15066
3744,371,795,15090
3720,384,790,15106
3699,397,792,15112
3699,383,819,15099
3674,388,824,15114
3669,364,810,15157
3664,365,785,15186
3648,386,768,15198
3645,388,769,15198
3650,366,767,15217
3668,343,773,15216
3649,358,774,15219
3634,352,776,15238
3634,354,779,15233
3613,362,772,15253
3610,374,754,15262
3596,377,762,15265
3580,374,766,15280
3582,384,752,15282
3580,386,750,15284
3553,385,753,15309
3568,372,743,15317
3571,373,762,15294
3585,351,782,15282
3576,362,783,15279
3577,372,773,15278
3546,386,768,15300
3522,378,786,15314
3516,380,790,15314
3486,389,786,15339
3479,393,782,15346
3487,372,790,15351
3487,370,789,15354
3500,341,773,15386
3485,345,775,15395
3468,345,772,15415
3460,330,783,15427
3440,344,769,15447
3407,337,769,15487
3402,339,767,15492
3398,350,750,15502
3365,376,753,15506
3343,383,753,15521
3395,346,761,15498
3390,342,753,15515
3380,355,746,15519
3382,357,725,15536
3392,338,748,15522
3369,336,747,15548
3360,361,735,15544
3354,347,745,15554
3335,351,759,15555
3337,349,746,15568
3345,331,748,15576
3339,339,740,15582
3370,317,747,15566
3373,306,728,15593
3387,302,734,15577
3412,296,723,15569
3415,297,716,15572
3430,294,697,15579
3464,288,679,15569
3481,295,661,15563
3478,297,654,15571
3492,288,664,15556
3512,295,658,15535
3535,288,660,15517
3554,297,635,15514
3567,321,632,15480
3554,328,642,15476
3537,322,646,15495
3559,315,639,15487
3559,308,657,15476
3545,309,668,15478
3538,316,672,15474
3545,308,681,15466
3532,310,665,15493
